video_name,cycle_index,aligned_phase_index,original_phase_index,phase_zero_source_phase_index,phase_zero_match_score,keyframe_ncc_score,keyframe_ncc_margin,keyframe_frame_index,keyframe_cycle_start,keyframe_cycle_end,keyframe_candidate_count,phase_selection_method,export_path,lapbar_mask_path,bottle_mask_path,datum_mask_path,lapbar_x_from_datum,lapbar_y_from_datum,bottle_x_from_datum,bottle_y_from_datum,datum_x_from_frame,datum_y_from_frame,bottle_roi_count,bottle_measurement_valid,bottle_middle_roi_full_size,bottle_minus_datum_x,bottle_minus_datum_y,bottle_from_datum_euclidean,lapbar_minus_datum_x,lapbar_minus_datum_y,lapbar_from_datum_euclidean
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,0,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0000__original_phase_01__sample_000.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0000__original_phase_01__sample_000__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0000__original_phase_01__sample_000__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0000__original_phase_01__sample_000__datum_mask.png,1455.0,278.0,966.0792236328125,263.7748107910156,1083.5,68.0,3.0,True,True,-117.4207763671875,195.77481079101562,228.28800945939108,371.5,210.0,426.74611890443714
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,1,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0001__original_phase_01__sample_001.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0001__original_phase_01__sample_001__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0001__original_phase_01__sample_001__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0001__original_phase_01__sample_001__datum_mask.png,1349.0,259.0,981.6600341796875,275.3800048828125,1083.5,68.0,6.0,True,True,-101.8399658203125,207.3800048828125,231.03645829928607,265.5,191.0,327.0645960662817
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,2,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0002__original_phase_01__sample_002.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0002__original_phase_01__sample_002__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0002__original_phase_01__sample_002__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0002__original_phase_01__sample_002__datum_mask.png,1487.0,259.0,,,1083.5,68.0,3.0,False,False,,,,403.5,191.0,446.42272567601213
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,3,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0003__original_phase_01__sample_003.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0003__original_phase_01__sample_003__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0003__original_phase_01__sample_003__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0003__original_phase_01__sample_003__datum_mask.png,1503.0,271.0,997.9489135742188,260.6094970703125,1083.5,68.0,3.0,True,True,-85.55108642578125,192.6094970703125,210.7543754001568,419.5,203.0,466.03567460013187
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,4,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0004__original_phase_01__sample_004.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0004__original_phase_01__sample_004__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0004__original_phase_01__sample_004__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0004__original_phase_01__sample_004__datum_mask.png,1471.0,275.0,972.9544677734375,265.739990234375,1083.5,68.0,5.0,True,True,-110.5455322265625,197.739990234375,226.54231047012982,387.5,207.0,439.3236278644708
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,5,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0005__original_phase_01__sample_005.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0005__original_phase_01__sample_005__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0005__original_phase_01__sample_005__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0005__original_phase_01__sample_005__datum_mask.png,1383.0,278.0,,,1083.5,68.0,6.0,False,False,,,,299.5,210.0,365.7871648923729
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,6,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0006__original_phase_01__sample_006.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0006__original_phase_01__sample_006__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0006__original_phase_01__sample_006__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0006__original_phase_01__sample_006__datum_mask.png,1471.0,273.0,972.0343627929688,266.016845703125,1083.5,68.0,3.0,True,True,-111.46563720703125,198.016845703125,227.23393113746178,387.5,205.0,438.38481953644333
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,7,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0007__original_phase_01__sample_007.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0007__original_phase_01__sample_007__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0007__original_phase_01__sample_007__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0007__original_phase_01__sample_007__datum_mask.png,1495.0,278.0,990.1544799804688,264.15545654296875,1083.5,68.0,4.0,True,True,-93.34552001953125,196.15545654296875,217.23339807519747,411.5,210.0,461.98728337476996
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,8,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0008__original_phase_01__sample_008.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0008__original_phase_01__sample_008__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0008__original_phase_01__sample_008__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0008__original_phase_01__sample_008__datum_mask.png,1487.0,261.0,997.2716674804688,269.18865966796875,1083.5,68.0,4.0,True,True,-86.22833251953125,201.18865966796875,218.88856093476562,403.5,193.0,447.28206983960354
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,9,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0009__original_phase_01__sample_009.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0009__original_phase_01__sample_009__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0009__original_phase_01__sample_009__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0009__original_phase_01__sample_009__datum_mask.png,1479.0,267.0,991.508056640625,262.94012451171875,1083.5,68.0,3.0,True,True,-91.991943359375,194.94012451171875,215.55549120279647,395.5,199.0,442.74287120178457
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,10,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0010__original_phase_01__sample_010.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0010__original_phase_01__sample_010__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0010__original_phase_01__sample_010__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0010__original_phase_01__sample_010__datum_mask.png,1469.0,257.0,962.2869262695312,268.91119384765625,1083.5,68.0,4.0,True,True,-121.21307373046875,200.91119384765625,234.64423508042674,385.5,189.0,429.33815344085133
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,11,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0011__original_phase_01__sample_011.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0011__original_phase_01__sample_011__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0011__original_phase_01__sample_011__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0011__original_phase_01__sample_011__datum_mask.png,1495.0,278.0,995.7808227539062,263.63348388671875,1083.5,68.0,8.0,True,True,-87.71917724609375,195.63348388671875,214.3994264786794,411.5,210.0,461.98728337476996
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,12,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0012__original_phase_01__sample_012.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0012__original_phase_01__sample_012__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0012__original_phase_01__sample_012__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0012__original_phase_01__sample_012__datum_mask.png,1503.0,278.0,996.644287109375,265.43988037109375,1083.5,68.0,4.0,True,True,-86.855712890625,197.43988037109375,215.6998405717781,419.5,210.0,469.12711496991943
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,13,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0013__original_phase_01__sample_013.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0013__original_phase_01__sample_013__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0013__original_phase_01__sample_013__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0013__original_phase_01__sample_013__datum_mask.png,1495.0,271.0,978.0,293.0,1083.5,68.0,5.0,True,True,-105.5,225.0,248.5060361439939,411.5,203.0,458.8477416311428
cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip.ts,14,3,1,8,0.9463894367218018,0.9463894367218018,,,,,,phase_zero_alignment,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\frames\phase_exports\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0014__original_phase_01__sample_014.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0014__original_phase_01__sample_014__lapbar_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0014__original_phase_01__sample_014__bottle_mask.png,c:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\measurements\phase_aware_position_output\masks\pitwall\phase_03__cortexvpu-01a-005-41884872_2026-06-19_17-35-41_933333_clip__cycle_0014__original_phase_01__sample_014__datum_mask.png,1367.0,252.0,994.9264526367188,271.95587158203125,1083.5,68.0,7.0,True,True,-88.57354736328125,203.95587158203125,222.35842877053582,283.5,184.0,337.9767003803665
